dt,open,high,low,close,volume
2025-11-14,599.549988,613.349976,597.169983,608.859985,80087300
2025-11-17,606.299988,612.47998,599.869995,603.659973,63850400
2025-11-18,599.619995,602.309998,591.340027,596.309998,83327300
2025-11-19,597.070007,606.159973,594.590027,599.869995,73111500
2025-11-20,611.619995,614.030029,584.75,585.669983,117743200
2025-11-21,587.469971,596.97998,580.73999,590.070007,103344200
2025-11-24,595.280029,606.679993,595.159973,605.159973,60168100
2025-11-25,603.51001,610.26001,597.320007,608.890015,57560900
2025-11-26,612.51001,616.190002,610.390015,614.27002,42393600
2025-11-28,616.109985,619.320007,615.419983,619.25,23034400
2025-12-01,613.630005,619.440002,612.52002,617.169983,40957600
2025-12-02,619.460022,623.75,617.590027,622.0,54541800
2025-12-03,619.619995,624.219971,618.030029,623.52002,47841600
2025-12-04,624.929993,624.940002,619.539978,622.940002,47067800
2025-12-05,624.380005,628.919983,623.710022,625.47998,53614200
2025-12-08,627.210022,628.840027,621.690002,624.280029,43462400
2025-12-09,623.01001,625.869995,621.0,625.049988,37156000
2025-12-10,623.849976,629.210022,620.98999,627.609985,55031400
2025-12-11,623.820007,625.780029,617.719971,625.580017,58272800
2025-12-12,622.080017,623.539978,611.359985,613.619995,75158700
2025-12-15,618.369995,618.419983,609.320007,610.539978,49538200
2025-12-16,608.26001,613.51001,606.909973,611.75,55152800
2025-12-17,613.059998,613.650024,600.280029,600.409973,70654300
2025-12-18,609.799988,612.929993,606.919983,609.109985,78875800
2025-12-19,611.950012,617.619995,611.869995,617.049988,60369800
2025-12-22,621.349976,621.650024,617.77002,619.210022,43703100
2025-12-23,618.200012,622.409973,617.780029,622.109985,41120400
2025-12-24,621.98999,624.280029,621.719971,623.929993,18468700
2025-12-26,624.659973,625.52002,623.140015,623.890015,28959800
2025-12-29,620.099976,622.780029,618.72998,620.869995,32458300
2025-12-30,619.840027,622.179993,619.219971,619.429993,31226800
2025-12-31,619.650024,619.960022,614.049988,614.309998,40746500
2026-01-02,620.059998,622.849976,610.150024,613.119995,61859200
2026-01-05,619.320007,620.809998,616.719971,617.98999,46828400
2026-01-06,619.22998,624.02002,618.539978,623.419983,43137500
2026-01-07,623.039978,627.940002,622.559998,624.02002,44880300
2026-01-08,623.030029,623.419983,617.799988,620.469971,50435900
2026-01-09,621.409973,627.890015,619.059998,626.650024,49688700
2026-01-12,622.309998,628.849976,622.26001,627.169983,37388700
2026-01-13,627.27002,629.469971,623.700012,626.23999,44481400
2026-01-14,622.23999,623.450012,614.559998,619.549988,72598700
2026-01-15,626.599976,630.0,620.75,621.780029,53934900
2026-01-16,625.5,626.080017,618.880005,621.26001,61058100
2026-01-20,610.530029,615.059998,607.049988,608.059998,81988900
2026-01-21,609.469971,620.419983,607.859985,616.280029,79837900
2026-01-22,622.349976,622.460022,617.780029,620.76001,42254800
2026-01-23,619.72998,625.400024,618.650024,622.719971,43645800
2026-01-26,623.210022,627.609985,622.119995,625.460022,35983000
2026-01-27,628.909973,632.039978,627.340027,631.130005,38997200
2026-01-28,635.460022,636.599976,631.809998,633.219971,50691700
2026-01-29,632.650024,633.669983,618.27002,629.429993,79944000
2026-01-30,625.710022,628.26001,619.299988,621.869995,65650700
2026-02-02,618.700012,628.48999,618.659973,626.140015,49020300
2026-02-03,628.299988,629.97998,610.960022,616.52002,81234000
2026-02-04,615.02002,615.099976,600.469971,605.75,81850700
2026-02-05,600.210022,604.809998,594.76001,597.030029,89354500
2026-02-06,600.190002,611.409973,598.77002,609.650024,78019300
2026-02-09,607.539978,616.460022,605.070007,614.320007,56797600
2026-02-10,615.309998,617.02002,611.01001,611.469971,53938900
2026-02-11,616.380005,617.52002,607.690002,613.109985,58575100
2026-02-12,614.710022,615.809998,599.570007,600.640015,81378900
